idIIP,nazwaGlown,kategoria,rodzaj,x,y
PL.PZGiK.320.NGRP.41915,Hulboje,miejscowość,przysiółek wsi,19.354661409019833,49.69399022477546
PL.PZGiK.320.NGRP.41916,Hulbujówka,miejscowość,przysiółek wsi,19.445528453653374,49.6272951240475
PL.PZGiK.320.NGRP.41918,Hulcze,miejscowość,osada,23.99531494742293,50.50088309663054
PL.PZGiK.320.NGRP.41919,Hulcze,miejscowość,wieś,24.012362723780733,50.49799741154331
PL.PZGiK.320.NGRP.41920,Hule,miejscowość,przysiółek wsi,22.767097440678018,50.1472022742007
PL.PZGiK.320.NGRP.41922,Hulina,miejscowość,część miasta,20.469449834606984,49.42276506211251
PL.PZGiK.320.NGRP.41924,Hulinówka,miejscowość,część wsi,19.26295190553933,49.70708783917723
PL.PZGiK.320.NGRP.41928,Hulskie,miejscowość,osada,22.53158945525105,49.23863825806704
PL.PZGiK.320.NGRP.41930,Hultajewo,miejscowość,wieś,22.963728868939704,54.240639101433985
PL.PZGiK.320.NGRP.41931,Hultajka,miejscowość,część wsi,21.549925093316023,50.80385837349343
PL.PZGiK.320.NGRP.41935,Humel,miejscowość,część miasta,16.87240163901557,50.43912132308471
PL.PZGiK.320.NGRP.41937,Humięcino,miejscowość,wieś,20.576420765515387,53.00052564070647
PL.PZGiK.320.NGRP.41938,Humięcino-Andrychy,miejscowość,wieś,20.60277772939147,53.00250001989741
PL.PZGiK.320.NGRP.41939,Humięcino-Klary,miejscowość,część wsi,20.632279879777343,53.008417026605436
PL.PZGiK.320.NGRP.41940,Humięcino-Koski,miejscowość,wieś,20.615555521633613,53.01027778723515
PL.PZGiK.320.NGRP.41941,Humięcino-Retki,miejscowość,część wsi,20.5766667351962,53.00416663747599
PL.PZGiK.320.NGRP.41942,Humin,miejscowość,wieś,20.215833261083898,52.09888885868102
PL.PZGiK.320.NGRP.41943,Humin-Dobra Ziemskie,miejscowość,wieś,20.19796495816823,52.11053587731889
PL.PZGiK.320.NGRP.41945,Humlin,miejscowość,część wsi,18.95609839469658,52.550890754927856
PL.PZGiK.320.NGRP.41946,Humniska,miejscowość,wieś,22.047778857581527,49.677981514441875
PL.PZGiK.320.NGRP.41950,Hunger-Kolonia,miejscowość,przysiółek wsi,18.762312827532444,49.97092941950248
PL.PZGiK.320.NGRP.41952,Hurbalówka,miejscowość,przysiółek wsi,19.515805728589118,49.663666620484875
PL.PZGiK.320.NGRP.41954,Urchoci Wierch,miejscowość,część wsi,19.820447841313594,49.303010928220914
PL.PZGiK.320.NGRP.41955,Hurcze,miejscowość,wieś,23.076797447386195,50.154006703921965
PL.PZGiK.320.NGRP.41956,Hureczko,miejscowość,wieś,22.854129437347293,49.787876623905916
PL.PZGiK.320.NGRP.41957,Hurko,miejscowość,wieś,22.87381164724398,49.800134538347315
PL.PZGiK.320.NGRP.41963,Husaki,miejscowość,wieś,23.114209354347185,52.86131120629947
PL.PZGiK.320.NGRP.41964,Husary,miejscowość,część wsi,20.04990384652541,49.35175662961515
PL.PZGiK.320.NGRP.41965,Husinka,miejscowość,wieś,23.308310752265356,52.06606366093801
PL.PZGiK.320.NGRP.41967,Husiny,miejscowość,część wsi,23.188684729364613,50.49804828568523
PL.PZGiK.320.NGRP.41968,Husów,miejscowość,wieś,22.288903666361314,49.97792525181293
PL.PZGiK.320.NGRP.41975,Husynne,miejscowość,osada leśna,23.807812260669927,51.1418395565174
PL.PZGiK.320.NGRP.41976,Husynne,miejscowość,wieś,23.84208850718172,51.128925640283946
PL.PZGiK.320.NGRP.41977,Husynne,miejscowość,wieś,23.97811798031657,50.83422958826491
PL.PZGiK.320.NGRP.41978,Husynne-Kolonia,miejscowość,część wsi,23.960163390256266,50.83121733640047
PL.PZGiK.320.NGRP.41981,Huszcza Druga,miejscowość,część wsi,23.291697562626855,51.86631397324551
PL.PZGiK.320.NGRP.41982,Kolonia Huszcza Druga,miejscowość,kolonia wsi,23.28121957862439,51.87651792786772
PL.PZGiK.320.NGRP.41983,Huszcza Pierwsza,miejscowość,część wsi,23.320507390948578,51.862344232196726
PL.PZGiK.320.NGRP.41984,Kolonia Huszcza Pierwsza,miejscowość,kolonia wsi,23.306953198730515,51.84849183769506
